                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0001,                0.82676,                 1.2699,                0.89604,                0.87909,                0.93675,                0.69452,                0.96601,                0.63361,                 1.3889,              0.0004984,              0.0004984,              0.0004984
                     79,                 1.0024,                0.81482,                 1.2699,                0.90901,                 0.8812,                0.94552,                0.70484,                0.95284,                0.59998,                  1.385,              0.0004918,              0.0004918,              0.0004918
                     80,                 1.0035,                0.82908,                 1.2683,                0.91561,                0.88801,                0.94428,                0.70351,                0.95946,                0.58836,                  1.395,              0.0004852,              0.0004852,              0.0004852
                     81,                 1.0011,                0.81849,                 1.2599,                0.88609,                0.89594,                0.93751,                 0.6965,                 0.9744,                0.60728,                 1.4017,              0.0004786,              0.0004786,              0.0004786
                     82,                 1.0001,                0.81461,                 1.2699,                0.89307,                0.89197,                0.94057,                0.70117,                0.96396,                0.59586,                 1.3967,               0.000472,               0.000472,               0.000472
                     83,                 1.0001,                0.81309,                 1.2589,                0.89694,                0.88008,                0.93327,                 0.6934,                0.96575,                0.59576,                 1.3924,              0.0004654,              0.0004654,              0.0004654
                     84,                0.97425,                 0.7934,                 1.2452,                 0.8964,                0.87413,                0.93493,                0.70028,                0.97713,                 0.6056,                 1.4077,              0.0004588,              0.0004588,              0.0004588
                     85,                0.98033,                0.78884,                 1.2558,                0.88247,                0.88552,                0.92968,                0.68241,                0.97646,                0.61968,                 1.4064,              0.0004522,              0.0004522,              0.0004522
                     86,                0.96663,                0.79259,                 1.2455,                0.90729,                  0.889,                 0.9447,                0.70408,                0.96451,                0.58842,                 1.3964,              0.0004456,              0.0004456,              0.0004456
                     87,                0.98052,                 0.7991,                 1.2549,                0.88459,                0.90395,                0.93919,                0.69504,                0.96747,                0.59308,                 1.3942,               0.000439,               0.000439,               0.000439
                     88,                0.97634,                0.77915,                 1.2449,                 0.8959,                0.88404,                0.94113,                 0.7001,                 0.9641,                0.59928,                 1.3889,              0.0004324,              0.0004324,              0.0004324
                     89,                0.97249,                0.79561,                 1.2486,                0.91299,                0.87017,                0.93707,                0.70099,                 0.9635,                0.61618,                 1.3905,              0.0004258,              0.0004258,              0.0004258
                     90,                0.95511,                0.77632,                 1.2365,                0.90938,                0.89511,                0.94102,                0.70262,                0.96283,                0.59649,                 1.3852,              0.0004192,              0.0004192,              0.0004192
                     91,                0.96535,                0.78433,                 1.2383,                 0.9015,                0.87984,                0.93771,                0.69925,                0.97993,                0.61749,                 1.4147,              0.0004126,              0.0004126,              0.0004126
                     92,                0.96603,                0.77957,                 1.2489,                0.89472,                0.89594,                0.93725,                0.70111,                0.96503,                0.60275,                 1.4009,               0.000406,               0.000406,               0.000406
                     93,                0.95344,                0.77253,                 1.2337,                0.91096,                0.89395,                0.94042,                0.70824,                0.95921,                0.59301,                 1.3938,              0.0003994,              0.0003994,              0.0003994
                     94,                0.95025,                0.76241,                 1.2327,                0.91041,                0.89296,                0.94223,                0.69607,                0.98303,                0.58667,                 1.4219,              0.0003928,              0.0003928,              0.0003928
                     95,                0.94203,                0.76847,                 1.2233,                0.90108,                0.88801,                0.94002,                 0.7033,                0.95434,                0.59287,                  1.397,              0.0003862,              0.0003862,              0.0003862
                     96,                0.93982,                0.75276,                  1.224,                0.91197,                0.87269,                0.93976,                 0.6967,                0.95667,                0.59907,                 1.4024,              0.0003796,              0.0003796,              0.0003796
                     97,                0.93869,                0.75547,                   1.22,                 0.9013,                0.88603,                0.93975,                0.70346,                0.95807,                0.59014,                  1.405,               0.000373,               0.000373,               0.000373
                     98,                0.93089,                0.74153,                 1.2225,                0.89659,                0.89197,                 0.9419,                0.70628,                0.96453,                0.59198,                 1.4043,              0.0003664,              0.0003664,              0.0003664
                     99,                0.92613,                0.74486,                 1.2156,                0.89738,                0.88801,                0.94435,                0.70331,                0.96298,                0.59427,                 1.4073,              0.0003598,              0.0003598,              0.0003598
                    100,                0.91573,                 0.7333,                  1.213,                0.89729,                0.89177,                0.93724,                0.70114,                0.96344,                0.61238,                 1.4154,              0.0003532,              0.0003532,              0.0003532
                    101,                0.92955,                0.74545,                 1.2148,                0.91073,                0.87017,                0.93921,                0.69963,                0.95475,                0.59651,                 1.4005,              0.0003466,              0.0003466,              0.0003466
                    102,                0.90873,                0.73279,                 1.2073,                0.90837,                0.89495,                0.94308,                0.71233,                0.94476,                0.58251,                 1.3822,                0.00034,                0.00034,                0.00034
                    103,                0.92321,                0.73414,                 1.2109,                0.89722,                0.90089,                0.94196,                0.70849,                0.95079,                0.59083,                 1.3878,              0.0003334,              0.0003334,              0.0003334
                    104,                0.90377,                0.73436,                 1.1961,                0.91476,                0.88107,                0.93925,                0.69987,                0.97166,                0.58708,                 1.4135,              0.0003268,              0.0003268,              0.0003268
                    105,                0.91456,                0.73363,                 1.2048,                0.89482,                0.91065,                0.94202,                0.70742,                0.95972,                0.57652,                 1.4087,              0.0003202,              0.0003202,              0.0003202
                    106,                0.90731,                0.70857,                  1.197,                0.90341,                0.89918,                0.94071,                 0.6998,                0.97054,                0.57658,                 1.4148,              0.0003136,              0.0003136,              0.0003136
                    107,                0.90823,                0.72261,                 1.2037,                  0.921,                0.87815,                0.94563,                0.71216,                0.94929,                0.57282,                 1.3922,               0.000307,               0.000307,               0.000307
                    108,                 0.9034,                0.71594,                 1.1998,                0.89908,                0.90058,                 0.9417,                0.70721,                0.95407,                0.57325,                 1.4057,              0.0003004,              0.0003004,              0.0003004
                    109,                0.89369,                0.70041,                  1.194,                0.90743,                0.88405,                0.94211,                0.70745,                0.94257,                 0.5876,                 1.3815,              0.0002938,              0.0002938,              0.0002938
                    110,                 0.8936,                0.69525,                 1.1906,                0.88454,                0.89593,                 0.9403,                0.70603,                0.94966,                0.59211,                  1.391,              0.0002872,              0.0002872,              0.0002872
                    111,                0.88334,                0.69264,                 1.1841,                0.89859,                0.90486,                0.94473,                0.71142,                0.94673,                0.57734,                 1.3884,              0.0002806,              0.0002806,              0.0002806
                    112,                0.89884,                 0.7164,                 1.1916,                0.90848,                0.88542,                0.94041,                0.70157,                0.95939,                0.58214,                 1.4113,               0.000274,               0.000274,               0.000274
                    113,                0.87617,                0.68945,                 1.1816,                0.87049,                0.90599,                0.93802,                0.70383,                0.95136,                0.59654,                 1.4021,              0.0002674,              0.0002674,              0.0002674
                    114,                 0.8677,                0.69329,                 1.1754,                0.89293,                0.88442,                0.93954,                0.70813,                0.94408,                0.59583,                 1.3952,              0.0002608,              0.0002608,              0.0002608
                    115,                0.87627,                 0.6915,                 1.1849,                0.88451,                0.90585,                0.94033,                0.70751,                0.94583,                0.58377,                  1.398,              0.0002542,              0.0002542,              0.0002542
                    116,                0.87391,                0.69524,                 1.1791,                0.90891,                0.87017,                0.94039,                0.70023,                0.96303,                0.58116,                 1.4172,              0.0002476,              0.0002476,              0.0002476
                    117,                0.88501,                0.70525,                 1.1923,                 0.9121,                0.88107,                 0.9397,                0.70722,                 0.9533,                0.56447,                 1.4105,               0.000241,               0.000241,               0.000241
                    118,                0.86166,                0.67994,                 1.1711,                0.91092,                0.88175,                0.94281,                0.71151,                0.94565,                0.58185,                 1.4025,              0.0002344,              0.0002344,              0.0002344
                    119,                0.86608,                0.67469,                 1.1785,                0.92051,                0.86918,                0.94451,                0.71478,                 0.9498,                0.57476,                 1.4082,              0.0002278,              0.0002278,              0.0002278
                    120,                0.87216,                0.68742,                 1.1782,                0.89947,                0.90287,                0.94482,                0.71407,                0.95093,                0.56517,                 1.4061,              0.0002212,              0.0002212,              0.0002212
                    121,                0.85265,                0.67851,                 1.1677,                0.88803,                0.90396,                0.94185,                0.71237,                0.95324,                0.56902,                 1.4081,              0.0002146,              0.0002146,              0.0002146
                    122,                0.84444,                0.64989,                 1.1578,                0.90162,                0.89923,                0.93985,                0.70721,                0.95529,                0.57574,                 1.4136,               0.000208,               0.000208,               0.000208
                    123,                0.85786,                0.66143,                  1.166,                0.90568,                0.89594,                0.93969,                0.71012,                0.95697,                0.58755,                 1.4112,              0.0002014,              0.0002014,              0.0002014
                    124,                0.84454,                0.65888,                 1.1597,                0.90601,                0.89395,                0.94028,                0.70966,                0.95699,                0.58454,                  1.413,              0.0001948,              0.0001948,              0.0001948
                    125,                0.82825,                0.64785,                 1.1467,                0.89881,                0.89796,                0.94025,                0.70963,                0.95732,                0.58152,                 1.4129,              0.0001882,              0.0001882,              0.0001882
                    126,                 0.8395,                0.65708,                 1.1554,                0.88489,                0.90981,                0.93957,                0.70465,                0.95917,                0.58549,                 1.4157,              0.0001816,              0.0001816,              0.0001816
                    127,                0.83474,                0.65952,                 1.1588,                0.88774,                0.90126,                0.94068,                0.70851,                0.95026,                0.58293,                 1.4067,               0.000175,               0.000175,               0.000175
                    128,                 0.8348,                0.65842,                 1.1524,                0.89573,                0.89395,                0.94049,                0.71037,                0.94838,                0.58163,                 1.4044,              0.0001684,              0.0001684,              0.0001684
                    129,                0.83479,                0.64007,                 1.1522,                0.90356,                0.87909,                0.93889,                0.70955,                0.94901,                0.57792,                 1.4051,              0.0001618,              0.0001618,              0.0001618
                    130,                 0.8176,                0.64135,                 1.1467,                0.90676,                0.87711,                0.93719,                0.70431,                0.95016,                0.58012,                 1.4068,              0.0001552,              0.0001552,              0.0001552
                    131,                0.82856,                0.64806,                 1.1495,                0.90275,                0.88324,                0.93839,                0.70895,                0.94841,                0.57769,                 1.4054,              0.0001486,              0.0001486,              0.0001486
                    132,                0.82738,                0.65856,                 1.1568,                0.90428,                  0.889,                0.93783,                0.70585,                  0.949,                 0.5778,                 1.4069,               0.000142,               0.000142,               0.000142
                    133,                 0.8239,                0.64547,                 1.1496,                0.90875,                0.87909,                0.93634,                0.70336,                0.94669,                0.57896,                 1.4072,              0.0001354,              0.0001354,              0.0001354
                    134,                0.81547,                0.63935,                 1.1407,                0.90047,                0.88404,                0.93643,                0.70428,                0.94936,                0.58042,                 1.4093,              0.0001288,              0.0001288,              0.0001288
                    135,                0.82845,                0.65448,                 1.1509,                0.91155,                0.87835,                 0.9387,                0.70721,                 0.9459,                 0.5798,                 1.4062,              0.0001222,              0.0001222,              0.0001222
                    136,                 0.8133,                0.63866,                 1.1423,                0.90056,                0.88999,                0.93914,                 0.7074,                0.94876,                0.57777,                 1.4087,              0.0001156,              0.0001156,              0.0001156
                    137,                0.81365,                0.63787,                 1.1397,                0.89731,                0.88801,                0.93902,                0.71043,                0.94983,                0.57993,                 1.4101,               0.000109,               0.000109,               0.000109
                    138,                0.80737,                0.62294,                 1.1335,                0.89736,                0.88377,                0.93887,                0.70677,                0.95295,                0.58407,                  1.414,              0.0001024,              0.0001024,              0.0001024
                    139,                0.81533,                0.63904,                 1.1467,                 0.8808,                0.90585,                0.93961,                0.70761,                0.95342,                0.58122,                 1.4155,               9.58e-05,               9.58e-05,               9.58e-05
